Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,,Bankruptcies,Current Credit Balance,Monthly Debt,Credit Score
353,Home Mortgage,1045000,10+ years,0,24,24,1313466,0,,0,290396,20726,742
354,Home Mortgage,2126537,10+ years,0,23,23,14760482,0,,0,1019806,40227,697
355,Rent,960184,10+ years,0,9,43.3,301026,0,,0,86051,3433,7500
356,Home Mortgage,,10+ years,0,15,15,581152,1,,1,235904,15962,
357,Home Mortgage,1451619,9 years,0,15,17,953656,1,,1,407683,14274,733
358,Rent,1947519,9 years,0,8,13.9,614020,1,,1,334077,8748,725
359,Home Mortgage,,10+ years,0,10,17.5,1749660,0,,0,991268,42325,
360,Rent,3752880,5 years,0,10,16.6,695244,0,,0,429305,27959,735
361,Home Mortgage,931950,1 year,0,5,29,86372,2,,1,64752,12271,715
362,Rent,793174,5 years,0,9,18.2,374154,0,,0,282739,10047,654
363,Home Mortgage,1408052,3 years,0,12,20.5,817498,0,,0,502683,24171,732
364,Home Mortgage,,2 years,0,14,23.1,788194,0,,0,547295,33766,
365,Home Mortgage,,10+ years,0,21,32.2,2407086,0,,0,773338,46165,
366,Own Home,500175,10+ years,0,7,5.2,414656,0,,0,156123,10629,733
367,Rent,1076882,2 years,0,6,17.8,25784,0,,0,6821,11935,743
368,Home Mortgage,,,0,7,16.4,1026124,1,,1,458166,10121,
369,Rent,4192065,10+ years,0,12,23,543510,0,,0,382090,29659,702
370,Rent,559341,1 year,0,6,14.7,397474,1,,1,179873,5360,743
371,Home Mortgage,1271594,10+ years,0,11,18.6,588522,0,,0,282093,6093,747
372,Rent,,2 years,0,9,13,475222,1,,0,288534,12172,
373,Home Mortgage,3235681,10+ years,0,23,24.4,992552,0,,0,490333,50962,689
374,Home Mortgage,1594651,10+ years,0,10,14.6,145442,0,,0,78622,12332,740
375,Rent,2045692,2 years,0,16,18.3,348524,1,,1,128516,27276,721
376,Home Mortgage,,2 years,0,6,9.2,206690,0,,0,168511,8791,
377,Home Mortgage,1980237,3 years,0,10,16.5,575476,0,,0,404054,10578,714
378,Home Mortgage,845690,5 years,0,5,8.9,319880,0,,0,181507,9937,700
379,Rent,1512248,10+ years,0,25,28.9,604384,0,,0,280288,21423,692
380,Home Mortgage,956840,10+ years,0,10,14.7,518144,0,,0,222414,13555,6790
381,Own Home,1890500,2 years,0,5,22,205876,0,,0,160721,11170,689
382,Own Home,1278206,8 years,0,8,15.8,688908,0,,0,428963,16190,743
383,Home Mortgage,1402941,2 years,0,16,15.2,646426,0,,0,480681,22798,724
384,Home Mortgage,4333577,10+ years,0,14,39.4,438966,0,,0,78850,41530,717
385,Home Mortgage,,10+ years,0,11,14.5,495132,1,,1,292923,23025,
386,Rent,1297624,8 years,1,6,20.6,148852,1,,0,82023,4033,703
387,Home Mortgage,,7 years,0,15,23.1,922790,0,,0,553090,15721,
388,Home Mortgage,1521064,4 years,0,12,13.7,519376,0,,0,305900,12460,702
389,Rent,,10+ years,0,12,20.5,1103542,0,,0,121999,33683,
390,Home Mortgage,1670670,10+ years,0,12,12.5,960564,0,,0,104519,12085,720
391,Own Home,2138906,6 years,0,17,30.3,2205148,0,,0,1401668,37075,718
392,Home Mortgage,,6 years,0,14,13.5,174130,1,,0,134292,33597,
393,Rent,2415698,2 years,0,8,15.7,520146,0,,0,431699,32411,747
394,Home Mortgage,2196457,< 1 year,0,7,26.5,902748,0,,0,639312,25754,746
395,Rent,,4 years,0,23,12.6,606892,0,,0,165623,15819,
396,Home Mortgage,,10+ years,0,15,17.6,856438,0,,0,394972,18451,
397,Home Mortgage,1205683,8 years,0,13,18.5,110022,0,,0,59204,7586,733
398,Rent,1127175,10+ years,0,9,13.7,619542,0,,0,226860,6096,734
399,Own Home,604466,3 years,0,3,10.2,258214,0,,0,161443,11787,741
400,Home Mortgage,1419300,7 years,0,7,16.9,177584,0,,0,137256,15967,738
401,Home Mortgage,794903,10+ years,0,13,20,713834,0,,0,99864,21065,741
402,Home Mortgage,1090011,2 years,0,12,16.5,312598,0,,0,228950,25797,702
403,Home Mortgage,1682032,10+ years,0,16,28.8,651332,0,,0,169309,20324,726
404,Home Mortgage,,6 years,0,10,23.8,1434048,0,,0,616759,31781,
405,Home Mortgage,1050415,,0,10,20.7,182292,1,,1,57779,28099,711
406,Home Mortgage,1558171,10+ years,0,6,19.7,672320,0,,0,451744,13764,733
407,Rent,,4 years,0,3,13.3,555764,0,,0,305748,7948,
408,Home Mortgage,1473260,10+ years,0,6,39,323466,0,,0,126274,19398,714
409,Home Mortgage,952660,8 years,0,5,14.5,573210,0,,0,165338,1675,749
410,Rent,775428,9 years,0,9,27.5,424204,1,,1,200754,7237,714
411,Rent,768512,< 1 year,0,6,7.7,240284,0,,0,63707,9542,727
412,Home Mortgage,1547721,6 years,0,15,12.2,1254902,0,,0,637260,30181,744
413,Rent,1315123,6 years,0,12,17,129822,0,,0,58083,15343,709
414,Rent,1582054,10+ years,0,5,12.1,239734,0,,0,178068,14238,726
415,Home Mortgage,,10+ years,0,14,17,1918774,0,,0,961134,30061,
416,Rent,993833,2 years,0,11,20.8,241142,0,,0,38532,2551,696
417,Home Mortgage,1739412,1 year,0,13,14,534864,0,,0,370006,31744,730
418,Home Mortgage,1338455,5 years,0,7,13.6,671264,0,,0,389006,25654,670
419,Home Mortgage,1453785,7 years,0,9,16.4,1833414,0,,0,617538,8917,750
420,Rent,471770,< 1 year,0,6,16.5,673156,0,,0,159866,3849,750
421,Home Mortgage,1533452,10+ years,0,13,30.5,1439922,0,,0,992351,39742,710
422,Rent,4667616,3 years,0,4,5.9,472428,0,,0,152190,5018,740
423,Home Mortgage,1277161,,0,32,15.4,392722,0,,0,31882,10164,750
424,Rent,,,0,15,33,1027554,0,,0,151753,11183,
425,Rent,778620,1 year,0,12,9.3,482680,0,,0,233016,11939,746
426,Rent,545566,2 years,0,4,23.7,157894,0,,0,65189,2405,723
427,Home Mortgage,3110528,7 years,0,15,18.5,925760,0,,0,598842,32920,699
428,Rent,1146954,10+ years,0,12,11.4,518056,0,,0,321689,19976,689
429,Rent,1206842,7 years,0,11,14,438438,0,,0,293075,10560,706
430,Home Mortgage,1906916,6 years,0,19,18.1,682396,0,,0,474430,34007,712
431,Home Mortgage,659281,10+ years,0,11,17,651772,0,,0,206587,13900,744
432,Rent,747688,3 years,0,8,8.5,150546,0,,0,76722,13272,711
433,Own Home,966055,3 years,0,15,16.6,604252,0,,0,215004,18274,748
434,Home Mortgage,1282310,5 years,0,21,12.8,489082,0,,0,248786,17739,721
435,Rent,1251435,4 years,0,18,18.5,263098,0,,0,115653,29409,7170
436,Rent,,2 years,0,5,13.1,205436,0,,0,115330,16531,
437,Own Home,1941002,10+ years,0,11,24.9,813846,0,,0,475836,16013,683
438,Own Home,374832,10+ years,0,7,17.9,345158,0,,0,194047,7903,716
439,Rent,744876,1 year,0,5,15,420486,0,,0,282891,13967,668
440,Home Mortgage,,10+ years,0,8,15.4,988988,0,,0,731139,26738,
441,Home Mortgage,1504648,7 years,0,17,24.8,1271666,0,,0,611724,26708,744
442,Rent,996398,5 years,0,12,17.5,794354,0,,0,334096,18101,748
443,Home Mortgage,1044696,9 years,0,6,14.7,219978,0,,0,166611,11230,734
444,Home Mortgage,1189818,6 years,0,25,17.2,301818,0,,0,185858,22111,672
445,Own Home,559683,5 years,0,17,14.1,99528,0,,0,24073,1679,736
446,Rent,984542,< 1 year,0,4,18.6,540100,0,,0,420736,19199,737
447,Home Mortgage,,10+ years,0,6,12.4,89210,1,,1,44384,15847,
448,Rent,579234,5 years,0,5,13.6,357500,0,,0,198835,4923,671
449,Home Mortgage,,< 1 year,0,13,21.4,598378,0,,0,144704,8748,
450,Rent,,1 year,0,17,14.7,522082,0,,0,301207,23992,
451,Own Home,687344,,0,10,35.6,506264,0,,0,310441,6243,683
452,Own Home,1071125,4 years,0,10,35.4,364870,1,,1,92644,7891,7310
453,Rent,616892,10+ years,0,6,19.9,415250,0,,0,222338,6323,716
454,Home Mortgage,1912350,5 years,0,13,18.5,1496352,0,,0,376067,8669,743
455,Home Mortgage,2325372,10+ years,0,12,24.9,669328,0,,0,182666,28098,749
456,Home Mortgage,1112488,,0,20,29.3,2456454,0,,0,782819,26051,734
457,Home Mortgage,802712,6 years,0,14,11.4,663080,0,,0,125419,12709,747
458,Rent,3032096,< 1 year,0,8,14.8,972114,0,,0,565003,41944,743
459,Home Mortgage,1296028,10+ years,0,7,13.4,177848,1,,1,78641,5702,713
460,Rent,897294,2 years,0,13,33.8,349140,0,,0,235486,20413,741
461,Rent,1360780,10+ years,0,16,17.4,775368,0,,0,490181,24381,742
462,Rent,1652639,1 year,0,11,15.7,439164,0,,0,137674,10962,745
463,Rent,1077471,6 years,0,11,12,82940,0,,0,11533,15803,748
464,Rent,1246248,10+ years,0,31,18.4,2366496,0,,0,772559,22744,748
465,Rent,625328,1 year,0,11,20.4,239734,1,,1,11381,688,743
466,Rent,,10+ years,0,14,16,682924,1,,1,230014,31178,
467,Rent,805980,10+ years,0,14,19.2,606562,0,,0,365655,24381,724
468,Rent,2443514,10+ years,0,10,20.5,83380,0,,0,65892,43983,694
469,Home Mortgage,2049036,8 years,0,6,21.7,56210,0,,0,2185,7377,716
470,Home Mortgage,1528664,6 years,0,11,22,1370666,0,,0,548074,23057,747
471,Home Mortgage,2395197,10+ years,0,6,16.9,255156,0,,0,221673,15449,726
472,Own Home,,1 year,0,6,16,237468,0,,0,817,12973,
473,Home Mortgage,1431840,2 years,0,13,11.7,543642,0,,0,270902,18733,745
474,Home Mortgage,749683,5 years,0,11,20.5,243892,0,,0,153976,7953,715
475,Rent,579633,< 1 year,0,11,15.8,203808,1,,1,48051,8260,745
476,Home Mortgage,1076768,,0,14,57.7,432124,0,,0,186219,13818,667
477,Home Mortgage,711569,,0,9,13,506748,0,,0,173299,12749,737
478,Rent,1521520,8 years,1,23,18.1,1770076,1,,0,1096091,48055,653
479,Home Mortgage,1166904,8 years,0,14,20.1,603174,0,,0,431319,10308,710
480,Rent,1355745,2 years,0,9,19.8,322718,2,,2,226309,26211,743
481,Rent,,5 years,0,9,16,112926,0,,0,57722,12055,
482,Home Mortgage,1248224,10+ years,0,9,28,286594,0,,0,113848,18307,732
483,Rent,934249,9 years,0,11,11.9,177210,0,,0,46987,28962,672
484,Rent,,3 years,0,7,14.5,106040,0,,0,71535,8546,
485,Home Mortgage,761064,6 years,0,10,13.5,200310,0,,0,93765,5346,741
486,Home Mortgage,737257,< 1 year,0,6,11.4,37268,0,,0,8018,4460,722
487,Rent,541101,10+ years,0,4,13.5,273196,0,,0,149340,2083,727
488,Rent,,7 years,0,15,22.4,676654,0,,0,295108,18362,
489,Home Mortgage,1632879,10+ years,0,11,29.8,837826,0,,0,631674,26806,651
490,Rent,,10+ years,0,12,24.7,591118,0,,0,345116,25434,
491,Rent,1599838,< 1 year,0,17,12.7,452408,0,,0,204744,16798,723
492,Rent,1067401,< 1 year,0,13,31.4,835010,0,,0,390868,19124,687
493,Home Mortgage,1052828,10+ years,0,5,24.6,315590,0,,0,199234,4176,741
494,Own Home,,< 1 year,0,9,15.2,554598,0,,0,224637,6202,
495,Home Mortgage,644765,1 year,0,16,11.3,625922,0,,0,299478,16173,736
496,Home Mortgage,1137568,,0,16,32,1220494,0,,0,666178,35454,722
497,Rent,536826,< 1 year,0,9,11,295438,0,,0,165604,7426,713
498,Home Mortgage,2125739,8 years,0,11,22.6,953744,0,,0,733894,28875,727
499,Home Mortgage,1042397,1 year,0,5,14.9,194018,0,,0,152988,11206,720
500,Home Mortgage,1615494,5 years,0,10,16.9,1320594,0,,0,250914,8158,747
501,Home Mortgage,973674,1 year,0,15,21.5,1117754,0,,0,335939,20366,703
502,Rent,582084,7 years,0,8,13.2,416768,0,,0,217417,8149,751
503,Home Mortgage,906737,10+ years,0,16,26,700150,1,,1,151164,13752,685
504,Rent,,10+ years,0,11,29.8,518650,0,,0,310403,22521,
505,Home Mortgage,1623550,10+ years,0,15,18.4,555280,0,,0,402363,30847,653
506,Rent,1346226,2 years,0,8,12.8,358886,0,,0,158061,19072,698
507,Home Mortgage,764978,10+ years,0,14,15.9,86504,1,,1,39900,9881,725
508,Home Mortgage,1343167,,0,11,31.4,541596,0,,0,247912,21379,675
509,Rent,2015672,1 year,0,8,24,242088,0,,0,157016,23180,717
510,Rent,615144,3 years,0,8,8.2,136004,0,,0,61199,20454,639
511,Home Mortgage,1950863,10+ years,0,10,14,1437612,0,,0,972154,39505,746
512,Home Mortgage,,7 years,0,21,19.2,1256090,0,,0,485982,17489,
513,Home Mortgage,2242342,2 years,0,11,21.8,253022,0,,0,145958,17434,673
514,Home Mortgage,1810092,10+ years,0,25,29.3,856174,0,,0,465842,40275,737
515,Home Mortgage,1618629,6 years,0,16,19.8,949124,0,,0,744287,31698,7170
516,Rent,1915770,2 years,0,17,15.4,654346,0,,0,413098,22031,734
517,Own Home,,4 years,0,5,11.4,198924,0,,0,114076,10382,
518,Home Mortgage,,5 years,0,23,24.4,761244,0,,0,409583,23607,
519,Home Mortgage,,10+ years,0,15,10.5,451440,0,,0,213655,15574,
520,Home Mortgage,1360058,2 years,0,20,31.7,1106380,0,,0,540816,20174,741
521,Rent,,10+ years,0,9,18.4,321178,0,,0,62700,32032,
522,Rent,1030370,6 years,0,12,16.8,438262,0,,0,269496,15456,741
523,Rent,,10+ years,0,5,24.1,33682,0,,0,24377,22793,
524,Home Mortgage,1153148,2 years,0,13,11.8,1074986,0,,0,410343,20949,745
525,Home Mortgage,3083909,10+ years,0,8,20.4,408342,0,,0,223592,22461,746
526,Home Mortgage,1300474,3 years,0,11,15,585178,0,,0,336585,21891,722
527,Home Mortgage,2985888,2 years,0,14,21.8,1038950,0,,0,641554,46779,746
528,Rent,1052220,8 years,0,9,13,365310,0,,0,167846,13153,745
529,Rent,1039053,10+ years,0,5,21,652124,0,,0,397613,14607,742
530,Own Home,742691,8 years,0,12,30.4,323620,1,,1,69312,10583,744
531,Home Mortgage,1578178,10+ years,0,22,24.7,2835976,0,,0,494741,29591,745
532,Home Mortgage,,9 years,0,10,42.6,200552,0,,0,131290,39528,
533,Rent,1358994,7 years,0,7,15.5,211442,0,,0,114133,2503,725
534,Own Home,412072,10+ years,0,4,22.9,234256,0,,0,159410,5134,7450
535,Home Mortgage,,10+ years,0,11,13.7,107404,1,,0,82004,10530,
536,Rent,504412,9 years,0,7,8.6,315678,0,,0,38171,1736,709
537,Home Mortgage,1959698,10+ years,0,20,22.7,780472,0,,0,297920,47359,717
538,Rent,1213036,10+ years,0,11,15.8,305448,2,,2,13186,15769,749
539,Rent,449711,5 years,0,12,18.5,570152,0,,0,132449,7495,715
540,Home Mortgage,1204296,1 year,0,12,10.6,205458,0,,0,177251,20975,717
541,Rent,935465,10+ years,0,5,26.5,209814,1,,1,9785,5652,7100
542,Home Mortgage,3689477,7 years,0,24,28.4,1452990,0,,0,799349,55957,725
543,Rent,1306155,9 years,0,10,12,138204,0,,0,68875,17307,726
544,Home Mortgage,,2 years,0,15,22.5,0,0,,0,0,22556,
545,Rent,847685,4 years,0,8,7,258852,0,,0,195168,13563,669
546,Home Mortgage,1724231,7 years,0,24,27.9,401302,0,,0,263416,28450,720
547,Rent,1386202,2 years,0,8,17,566016,0,,0,430673,16288,734
548,Home Mortgage,,10+ years,0,18,14.1,1348556,0,,0,823422,66848,
549,Home Mortgage,869022,3 years,0,9,12.4,272690,0,,0,195700,12746,739
550,Rent,,7 years,0,11,17.2,817850,1,,1,34618,1695,
551,Home Mortgage,,< 1 year,0,16,22.6,255442,0,,0,166991,50484,
552,Rent,269800,2 years,0,5,9.1,93522,0,,0,44175,1781,727
553,Rent,1850125,10+ years,0,18,21.4,1343452,0,,0,909644,32223,725
554,Home Mortgage,772920,6 years,0,8,14,512072,0,,0,273752,14621,737
555,Home Mortgage,955225,4 years,0,16,16,801174,0,,0,505799,23881,634
556,Home Mortgage,1826736,10+ years,0,11,24.8,582164,0,,0,161899,30446,750
557,Rent,1139069,10+ years,0,13,18,188188,0,,0,72010,13574,707
558,Own Home,1079846,,0,18,37.5,620356,0,,0,263055,20787,735
559,Home Mortgage,756276,10+ years,0,6,13.5,111672,0,,0,26809,9958,736
560,Rent,1025487,1 year,0,9,11.1,439736,0,,0,232047,23415,720
561,Own Home,1709829,8 years,0,16,32,6230994,0,,0,1754308,35764,750
562,Home Mortgage,611781,,0,7,34.5,245498,1,,1,143754,14683,739
563,Rent,759240,2 years,0,8,27.4,435028,0,,0,317471,17209,658
564,Home Mortgage,964345,10+ years,0,10,26,334928,0,,0,190912,19207,731
565,Home Mortgage,1528645,5 years,0,12,10.5,405922,0,,0,211052,18854,730
566,Home Mortgage,1137720,10+ years,0,19,23,1160478,0,,0,310688,19815,742
567,Own Home,2703092,8 years,0,5,19.9,209946,0,,0,58026,19665,733
568,Home Mortgage,2864535,2 years,0,11,23.6,1078880,0,,0,744477,38910,715
569,Rent,,3 years,0,10,17.4,391512,0,,0,236683,15259,
570,Home Mortgage,562932,10+ years,0,14,22.5,228624,1,,1,72257,15434,693
571,Home Mortgage,1631682,10+ years,0,13,18,428252,0,,0,169024,23795,740
572,Rent,947530,< 1 year,0,4,11.2,259776,0,,0,222319,17111,665
573,Home Mortgage,,10+ years,0,16,32.3,560428,0,,0,444315,51407,
574,Rent,1667155,10+ years,0,12,29,729212,0,,0,319922,28897,734
575,Home Mortgage,,10+ years,0,13,19.7,877932,0,,0,259312,35209,
576,Rent,1587298,1 year,0,14,15.6,547074,0,,0,413877,43783,715
577,Home Mortgage,2252089,4 years,0,12,24,559394,0,,0,272954,12856,730
578,Rent,562362,2 years,0,11,8,355828,0,,0,123234,11669,734
579,Rent,,10+ years,0,12,28.2,681714,0,,0,257887,21215,
580,Own Home,623086,3 years,0,5,25.5,199738,0,,0,94183,10125,731
581,Home Mortgage,868053,3 years,0,15,15.8,1054768,0,,0,103854,17216,750
582,Rent,1404879,8 years,0,7,16.6,309914,1,,1,171570,13112,720
583,Home Mortgage,1376892,< 1 year,0,12,19.3,633732,0,,0,259426,25931,746
584,Home Mortgage,1070384,10+ years,0,8,8,323356,0,,0,178448,25511,669
585,Home Mortgage,4772800,8 years,0,9,35.5,0,0,,0,0,2227,747
586,Rent,976714,5 years,0,11,13.9,387002,0,,0,219583,17369,742
587,Home Mortgage,813086,2 years,0,19,21.1,352660,0,,0,226898,15855,7250
588,Rent,,10+ years,0,12,17.1,524810,0,,0,97907,18162,
589,Own Home,1082278,5 years,0,14,15.6,636878,0,,0,315723,27869,642
590,Own Home,931665,3 years,0,6,11.9,439934,0,,0,284962,7531,7300
591,Home Mortgage,,9 years,0,10,13.1,1185096,0,,0,458527,29950,
592,Rent,1760559,4 years,2,18,16,215314,2,,0,158992,10989,693
593,Rent,,9 years,0,7,30.6,944152,0,,0,310669,12877,
594,Home Mortgage,,< 1 year,0,11,25.6,577984,0,,0,313481,14618,
595,Home Mortgage,745256,1 year,0,10,15.6,736164,0,,0,384636,12607,729
596,Home Mortgage,,2 years,0,10,13.8,396836,0,,0,294747,15548,
597,Rent,926725,10+ years,0,8,12.2,182380,0,,0,95456,10889,744
598,Rent,,10+ years,0,9,11.4,349932,1,,1,157453,10196,
599,Own Home,1265020,10+ years,0,18,11.4,1124750,0,,0,518719,26987,585
600,Rent,,10+ years,0,9,16.3,811800,0,,0,617671,26259,
601,Home Mortgage,,8 years,0,9,13,454344,0,,0,224048,5877,
602,Home Mortgage,5631030,1 year,0,5,17.5,0,0,,0,60439,15485,743
603,Rent,940785,10+ years,0,9,14.6,459756,0,,0,158042,10066,747
604,Home Mortgage,2822773,1 year,0,13,29.5,3409934,0,,0,2612177,50810,727
605,Home Mortgage,871644,,0,12,22.5,698324,0,,0,131480,21791,7350
606,Home Mortgage,,8 years,0,12,19.4,436370,0,,0,313177,25865,
607,Rent,987012,< 1 year,0,15,11.7,336270,0,,0,94962,14476,742
608,Home Mortgage,,9 years,0,10,11.4,553630,1,,1,316996,21277,
609,Rent,1002402,6 years,0,20,14,812350,0,,0,337459,19881,7220
610,Home Mortgage,1299676,10+ years,0,6,26.5,1065548,0,,0,466564,17470,732
611,Rent,756846,1 year,0,19,15.6,0,0,,0,7163,14948,681
612,Rent,1261315,3 years,0,7,11,364166,0,,0,263245,16397,715
613,Rent,,10+ years,1,14,17.5,421784,2,,1,191976,19058,
614,Rent,565896,,0,7,33.8,314160,1,,1,58615,4169,725
615,Rent,1912920,10+ years,0,12,26.5,491942,0,,0,404472,23593,691
616,Rent,2125321,4 years,0,17,7.5,494098,0,,0,194579,40381,722
617,Home Mortgage,,3 years,0,13,27.5,1304726170,0,,0,1126814,5492,
618,Home Mortgage,1019597,2 years,0,14,18.5,307296,0,,0,149416,25660,735
619,Home Mortgage,2312604,5 years,0,6,17.5,379236,0,,0,264974,27751,749
620,Home Mortgage,1862760,10+ years,0,16,19.4,1213168,0,,0,366700,26389,745
621,Home Mortgage,1901140,10+ years,0,6,18.4,334620,0,,0,282929,28992,731
622,Rent,1120848,10+ years,0,10,10.7,305206,0,,0,158156,8967,693
623,Home Mortgage,1396842,10+ years,0,11,16.9,1014684,0,,0,866666,26074,734
624,Rent,927485,3 years,0,10,10.7,436150,0,,0,294557,18550,736
625,Home Mortgage,1102988,5 years,0,17,15,453772,0,,0,277457,18291,673
626,Rent,,7 years,0,6,21.5,381238,0,,0,241338,5695,
627,Home Mortgage,2270253,10+ years,0,13,16,646096,0,,0,187492,50513,722
628,Home Mortgage,2548432,4 years,0,17,13.5,585926,0,,0,363318,52668,687
629,Home Mortgage,1389337,4 years,0,9,28.9,692340,0,,0,452029,26861,7460
630,Home Mortgage,1041029,9 years,0,14,16,219120,0,,0,95000,31491,698
631,Rent,1085280,9 years,0,7,11.3,314160,0,,0,212724,22339,708
632,Rent,1162344,7 years,0,17,15.6,508970,0,,0,165718,15014,742
633,Home Mortgage,2574956,4 years,0,10,16.4,999240,0,,0,760285,28754,749
634,Rent,,6 years,0,6,22.3,133496,0,,0,55461,1845,
635,Rent,1774372,4 years,0,13,13.3,697290,0,,0,448039,25743,706
636,Rent,908903,9 years,0,7,13.3,486794,0,,0,287128,13861,708
637,Rent,709004,1 year,0,9,26.8,364738,0,,0,242554,9040,728
638,Home Mortgage,,8 years,0,6,16.3,294008,0,,0,208468,22745,
639,Home Mortgage,560671,,0,13,22.4,472846,0,,0,169480,8223,732
640,Home Mortgage,,7 years,0,12,12.6,49368,1,,1,7030,30168,
641,Rent,583167,5 years,0,10,14.3,416702,0,,0,218804,18030,644
642,Rent,891119,3 years,0,9,23.8,717420,0,,0,293683,11733,746
643,Rent,1395930,10+ years,0,5,12.4,172546,0,,0,94335,8434,724
644,Home Mortgage,1538392,7 years,1,11,29,512160,1,,0,207005,24871,695
645,Own Home,573230,7 years,0,19,20.8,1218800,0,,0,451573,12515,742
646,Home Mortgage,,10+ years,0,8,35,984148,0,,0,694412,32657,
647,Home Mortgage,2282736,6 years,0,17,11.4,2622268,0,,0,883234,39568,744
648,Home Mortgage,1595867,6 years,0,17,32.7,2291740,0,,0,750139,16225,748
649,Home Mortgage,,2 years,0,3,10.3,115148,0,,0,81434,7244,
650,Rent,,8 years,0,19,14,368896,0,,0,197524,23836,
651,Rent,373806,2 years,0,5,10.3,17314,0,,0,9652,6878,697
652,Home Mortgage,1717942,2 years,0,23,19.9,810656,0,,0,603497,35504,719
653,Rent,1004207,5 years,0,14,12.4,831996,0,,0,262276,17490,722
654,Rent,1635843,9 years,0,19,15,499136,0,,0,255189,20721,722
655,Rent,389234,7 years,0,4,21.7,175846,0,,0,110086,2472,667
656,Home Mortgage,1972504,< 1 year,0,14,16.3,2395228,0,,0,1435602,56216,741
657,Home Mortgage,1294071,10+ years,0,7,21.8,368236,0,,0,205751,13803,740
658,Home Mortgage,2031708,1 year,0,30,16.7,2925120,0,,0,714932,26920,709
659,Rent,,10+ years,0,9,19.1,251856,1,,1,107464,15034,
660,Home Mortgage,1902090,4 years,0,16,21.4,1132890,0,,0,630078,14377,744
661,Rent,832694,3 years,0,3,16.5,239646,0,,0,198284,13046,733
662,Rent,2129919,7 years,0,8,12.6,508882,0,,0,336642,24317,742
663,Rent,,7 years,0,15,13.8,403744,0,,0,161804,21439,
664,Rent,1971459,10+ years,0,8,9.9,458656,0,,0,208753,25300,714
665,Home Mortgage,,10+ years,0,4,16.5,329274,0,,0,241452,29844,
666,Home Mortgage,,10+ years,0,12,12.6,1169938,0,,0,697186,26614,
667,Rent,,,0,15,16,413820,0,,0,302366,18962,
668,Home Mortgage,1431992,1 year,0,15,22,508112,0,,0,276450,21002,718
669,Rent,615220,6 years,0,7,12.4,245080,0,,0,115140,5691,714
670,Home Mortgage,1132704,1 year,0,5,19.7,242594,0,,0,200507,18878,7060
671,Home Mortgage,772939,8 years,0,8,14,490710,0,,0,233092,12302,746
672,Home Mortgage,,10+ years,0,10,19.8,389466,1,,1,226043,6876,
673,Rent,772236,1 year,0,14,13,469260,0,,0,157244,16539,747
674,Rent,1125066,10+ years,0,11,16,742962,0,,0,563350,25970,731
675,Home Mortgage,1318695,< 1 year,0,9,21.1,348700,0,,0,146965,18022,707
676,Own Home,,6 years,0,11,25.7,377454,0,,0,262086,15220,
